id,text,domain
0,"求购 高中 或 大学 学生资料格式如下列图片：
有货源的联系",0
1,"征求 合作伙伴 供应商 福利共享高价 收购台湾网购数据 
高价 收购台湾贷款资料

有的请 联系我 有多少都收 长期量大 

高薪诚征  高薪诚征技术人员
高薪诚征  拿站高手",0
2,收购一手实时网贷数据 工作室有实力长期收购一手实时网贷数据 工作室有实力 带少量测试的老哥来 稳定合作 测试好补差价,0
3,"谁有双币信用卡资源 或信息 。合作出售都可以谁有双币信用卡资源 或信息 ，合作，出料都行。留下你的联系方式
非诚忽扰",0
4,长期求购国外手机号，只要给我号码就可以了，不需要卡长期求购国外手机号，只要有号码就可以了，用来加国外whatsapp的，有货源的可以联系我,0
5,长期求购国外在用的whatsapp账号需要国外的whatsapp号，可以加到对方。有这种渠道的朋友可以联系我，越多越好。,0
6,"求购全国K12教育、广东中专学生家长、全国旅游类客户求购：
全国K12教育
广东中专学生家长
全国旅游类客户
以上三类数据

首次合作走论坛担保，要求可先少量测试，天价勿扰
每天消耗的量非常大，能提供测试",0
7,大批量收POS数据姓名电话等，大批量收,0
8,找佛山高明荷城业主信息需要测试   代价私聊,0
9,长期收全国车辆、车主数据长期收全国车辆、车主数据,0
10,"求购安徽省各医院院长信息以及全国皮肤病患者数据求购安徽省各医院院长信息以及全国皮肤病患者数据
量大从优，价格好商量",0
11,查询美团外卖地址查询美团外卖地址,0
12,收QQ信封量，晒米数据有的联系我收QQ信封任何量，收晒米数据上线20+的来,0
13,求购网站数据http://hzp.chuanrong888.com/    希望有技术可以把里面的客户电话提取出来，有多少要多少,0
14,求购网站数据http://hzp.chuanrong888.com/ 希望有技术可以把里面的客户电话提取出来，有多少要多少,0
15,求购国外一手app数据。有的老板联系,0
16,"求购IPHONE设备信息1000W条，单价1.2元需要最新的IPHONE 8码信息，每个出价1.2元，长期购买。。有货的请联系我。。。

要求：
1.一手码，没使用过。
2.免费提供50个测试码，测试可用后，分批次购买。。。每周最少10W条，分10次付款，每次交货1W条，确保码的质量。

不知道8码格式的请百度，只要IPHONE手机码，不需要其他设备，谢谢。。",0
17,求购手机号查询是否开通微信技术求购手机号是否开通微信技术或者接口，最好不用后期打码，最好可以批量查询是否注册微信；价额好商量,0
18,收注册卡，寻卡商移动联通号段，带上价格来，,0
