id,text,domain
0,求购高中或大学学生资料格式如下列图片有货源的联系,0
1,征求合作伙伴供应商福利共享高价收购台湾网购数据高价收购台湾贷款资料有的请联系我有多少都收长期量大高薪诚征高薪诚征技术人员高薪诚征拿站高手,0
2,收购一手实时网贷数据工作室有实力长期收购一手实时网贷数据工作室有实力带少量测试的老哥来稳定合作测试好补差价,0
3,谁有双币信用卡资源或信息。合作出售都可以谁有双币信用卡资源或信息合作出料都行。留下你的联系方式非诚忽扰,0
4,长期求购国外手机号只要给我号码就可以了不需要卡长期求购国外手机号只要有号码就可以了用来加国外的有货源的可以联系我,0
5,长期求购国外在用的账号需要国外的号可以加到对方。有这种渠道的朋友可以联系我越多越好。,0
6,求购全国教育广东中专学生家长全国旅游类客户求购全国教育广东中专学生家长全国旅游类客户以上三类数据首次合作走论坛担保要求可先少量测试天价勿扰每天消耗的量非常大能提供测试,0
7,大批量收数据姓名电话等大批量收,0
8,找佛山高明荷城业主信息需要测试代价私聊,0
9,长期收全国车辆车主数据长期收全国车辆车主数据,0
10,求购安徽省各医院院长信息以及全国皮肤病患者数据求购安徽省各医院院长信息以及全国皮肤病患者数据量大从优价格好商量,0
11,查询美团外卖地址查询美团外卖地址,0
12,收信封量晒米数据有的联系我收信封任何量收晒米数据上线的来,0
13,求购网站数据希望有技术可以把里面的客户电话提取出来有多少要多少,0
14,求购网站数据希望有技术可以把里面的客户电话提取出来有多少要多少,0
15,求购国外一手数据。有的老板联系,0
16,求购设备信息条单价元需要最新的码信息每个出价元长期购买。。有货的请联系我。。。要求一手码没使用过。免费提供个测试码测试可用后分批次购买。。。每周最少条分次付款每次交货条确保码的质量。不知道码格式的请百度只要手机码不需要其他设备谢谢。。,0
17,求购手机号查询是否开通微信技术求购手机号是否开通微信技术或者接口最好不用后期打码最好可以批量查询是否注册微信；价额好商量,0
18,收注册卡寻卡商移动联通号段带上价格来,0
19,求购绑卡信息做四件套的可以看看购买的的东西包括身份证姓名号码银行卡号两张可用预留手机号。身份证银行卡不用邮寄预留手机卡需要邮寄给我。需求量大带价来。,0
20,求购苹果码大量要有的私我要一百万的货有的私聊我每天不定时上线。或者联系电报阿最厉害,0
21,求购百度贴吧绑定手机号数据如题收百度与绑定密保手机号一套数据带价回复,0
22,求购美团饿了么外卖平台各城市代理电话求购美团外卖饿了么等各级城市代理的姓名与联系电话。,0
